codigo_producto;sucursal;precio_venta;fecha_venta;nombe-producto;costo;Utilidad
B;Memphis;31942.19;martes 19 de septiembre de 2017;Audi;506811;-474868.81
S;Memphis;25757.65;martes 07 de marzo de 2017;Peugeot;287741;-261983.35
M;Memphis;30961.68;jueves 09 de marzo de 2017;Mazda;327078;-296116.32
K;Memphis;44233.66;domingo 22 de enero de 2017;Toyota;509328;-465094.34
I;Memphis;4530.49;miércoles 08 de febrero de 2017;Hyundai;121889;-117358.51
M;Memphis;25544.13;martes 28 de febrero de 2017;Mazda;327078;-301533.87
S;Memphis;9425.78;jueves 01 de junio de 2017;Peugeot;287741;-278315.22
M;Memphis;20111.75;viernes 03 de febrero de 2017;Mazda;327078;-306966.25
K;Memphis;22503.74;jueves 18 de mayo de 2017;Toyota;509328;-486824.26
D;Memphis;1543.88;miércoles 22 de febrero de 2017;Jaguar;384724;-383180.12
P;Memphis;1076.99;sábado 24 de junio de 2017;Volvo;579877;-578800.01
Q;Memphis;11966.7;domingo 05 de noviembre de 2017;Suzuki;121590;-109623.3
F;Memphis;23355.79;martes 12 de septiembre de 2017;Citroen;361084;-337728.21
K;Memphis;48090.86;martes 26 de septiembre de 2017;Toyota;509328;-461237.14
S;Memphis;1214.97;martes 30 de mayo de 2017;Peugeot;287741;-286526.03
O;Memphis;15658.89;viernes 11 de agosto de 2017;Fiat;117711;-102052.11
Q;Memphis;30098.04;domingo 27 de agosto de 2017;Suzuki;121590;-91491.96
G;Memphis;17097.96;viernes 17 de noviembre de 2017;Jeep;62985;-45887.04
Q;Memphis;43799.62;domingo 03 de septiembre de 2017;Suzuki;121590;-77790.38
F;Memphis;45928.04;martes 15 de agosto de 2017;Citroen;361084;-315155.96
F;Memphis;39504.52;jueves 15 de junio de 2017;Citroen;361084;-321579.48
I;Memphis;21387.54;domingo 03 de septiembre de 2017;Hyundai;121889;-100501.46
C;Memphis;6741.2;sábado 18 de noviembre de 2017;Ford;145385;-138643.8
C;Memphis;10372.18;domingo 20 de agosto de 2017;Ford;145385;-135012.82
H;Memphis;41699.89;lunes 06 de febrero de 2017;Renault;417019;-375319.11
K;Memphis;32035.36;viernes 03 de marzo de 2017;Toyota;509328;-477292.64
H;Memphis;14240.9;miércoles 12 de abril de 2017;Renault;417019;-402778.1
S;Memphis;25445.76;miércoles 30 de agosto de 2017;Peugeot;287741;-262295.24
K;Memphis;22108.76;miércoles 22 de marzo de 2017;Toyota;509328;-487219.24
R;Memphis;13607.26;jueves 05 de enero de 2017;Seat;3396;10211.26
R;Memphis;35508.99;lunes 24 de abril de 2017;Seat;3396;32112.99
O;Memphis;48450.17;jueves 05 de enero de 2017;Fiat;117711;-69260.83
H;Memphis;22009.38;sábado 23 de septiembre de 2017;Renault;417019;-395009.62
C;Memphis;5647.95;viernes 21 de abril de 2017;Ford;145385;-139737.05
I;Memphis;23581.36;sábado 20 de mayo de 2017;Hyundai;121889;-98307.64
Q;Memphis;21986.27;jueves 21 de septiembre de 2017;Suzuki;121590;-99603.73
P;Memphis;22467.29;sábado 30 de septiembre de 2017;Volvo;579877;-557409.71
C;Memphis;4203.8;miércoles 29 de noviembre de 2017;Ford;145385;-141181.2
R;Memphis;33180.21;martes 21 de marzo de 2017;Seat;3396;29784.21
S;Memphis;30118.09;sábado 01 de abril de 2017;Peugeot;287741;-257622.91
O;Memphis;36687.34;lunes 21 de agosto de 2017;Fiat;117711;-81023.66
M;Memphis;28186.99;sábado 01 de julio de 2017;Mazda;327078;-298891.01
P;Memphis;6879.97;viernes 21 de abril de 2017;Volvo;579877;-572997.03
B;Memphis;22796.28;sábado 08 de julio de 2017;Audi;506811;-484014.72
J;Memphis;16668.34;lunes 29 de mayo de 2017;Mitsubishi;362567;-345898.66
E;Memphis;262.65;sábado 04 de noviembre de 2017;Kia;526617;-526354.35
Q;Memphis;44590.82;miércoles 19 de abril de 2017;Suzuki;121590;-76999.18
M;Memphis;8977.67;jueves 27 de julio de 2017;Mazda;327078;-318100.33
T;Memphis;37641.78;lunes 06 de noviembre de 2017;Isuzu;288473;-250831.22
Q;Memphis;29788.09;domingo 01 de enero de 2017;Suzuki;121590;-91801.91
K;Memphis;16402.28;sábado 02 de diciembre de 2017;Toyota;509328;-492925.72
B;Memphis;18358.06;domingo 26 de febrero de 2017;Audi;506811;-488452.94
H;Memphis;2446.4;jueves 12 de octubre de 2017;Renault;417019;-414572.6
P;Memphis;46856.17;lunes 02 de octubre de 2017;Volvo;579877;-533020.83
E;Memphis;16817.74;jueves 05 de enero de 2017;Kia;526617;-509799.26
I;Memphis;17822;martes 20 de junio de 2017;Hyundai;121889;-104067
P;Memphis;8249.5;lunes 04 de septiembre de 2017;Volvo;579877;-571627.5
N;Memphis;4123.45;domingo 06 de agosto de 2017;BMW;366207;-362083.55
F;Memphis;48340.54;viernes 13 de enero de 2017;Citroen;361084;-312743.46
G;Memphis;19564.14;lunes 27 de marzo de 2017;Jeep;62985;-43420.86
J;Memphis;24957.99;jueves 11 de mayo de 2017;Mitsubishi;362567;-337609.01
Q;Memphis;11698.49;martes 12 de diciembre de 2017;Suzuki;121590;-109891.51
K;Memphis;29873.17;jueves 23 de febrero de 2017;Toyota;509328;-479454.83
C;Memphis;8881.82;viernes 29 de diciembre de 2017;Ford;145385;-136503.18
J;Memphis;30368.96;martes 02 de mayo de 2017;Mitsubishi;362567;-332198.04
I;Memphis;38454.87;viernes 05 de mayo de 2017;Hyundai;121889;-83434.13
S;Memphis;31254.84;lunes 22 de mayo de 2017;Peugeot;287741;-256486.16
P;Memphis;12136.66;martes 08 de agosto de 2017;Volvo;579877;-567740.34
D;Memphis;42921.68;jueves 30 de marzo de 2017;Jaguar;384724;-341802.32
O;Memphis;38277.12;sábado 23 de septiembre de 2017;Fiat;117711;-79433.88
Q;Memphis;803.29;lunes 25 de septiembre de 2017;Suzuki;121590;-120786.71
E;Memphis;39851.77;martes 02 de mayo de 2017;Kia;526617;-486765.23
G;Memphis;38467.44;sábado 22 de abril de 2017;Jeep;62985;-24517.56
B;Memphis;31812.75;jueves 30 de noviembre de 2017;Audi;506811;-474998.25
D;Memphis;3603.11;sábado 08 de julio de 2017;Jaguar;384724;-381120.89
H;Memphis;41899.32;lunes 17 de abril de 2017;Renault;417019;-375119.68
F;Memphis;37610.92;domingo 09 de abril de 2017;Citroen;361084;-323473.08
P;Memphis;44456.8;viernes 27 de enero de 2017;Volvo;579877;-535420.2
T;Memphis;11750.46;viernes 07 de julio de 2017;Isuzu;288473;-276722.54
I;Memphis;34819.62;domingo 06 de agosto de 2017;Hyundai;121889;-87069.38
B;Memphis;34025.83;sábado 18 de noviembre de 2017;Audi;506811;-472785.17
P;Memphis;28449.02;domingo 01 de enero de 2017;Volvo;579877;-551427.98
G;Memphis;22875.5;viernes 24 de marzo de 2017;Jeep;62985;-40109.5
Q;Memphis;3184.99;lunes 29 de mayo de 2017;Suzuki;121590;-118405.01
A;Memphis;17270.74;viernes 20 de enero de 2017;Mercedes-Benz;665685;-648414.26
O;Memphis;12848.95;lunes 06 de marzo de 2017;Fiat;117711;-104862.05
C;Memphis;11143.89;sábado 15 de abril de 2017;Ford;145385;-134241.11
H;Memphis;35155.63;jueves 27 de julio de 2017;Renault;417019;-381863.37
S;Memphis;10710.6;miércoles 27 de diciembre de 2017;Peugeot;287741;-277030.4
H;Memphis;44623.54;sábado 15 de abril de 2017;Renault;417019;-372395.46
L;Memphis;31490.04;jueves 12 de octubre de 2017;Volkswagen;478975;-447484.96
M;Memphis;25228.71;jueves 28 de septiembre de 2017;Mazda;327078;-301849.29
R;Memphis;34281.19;domingo 11 de junio de 2017;Seat;3396;30885.19
L;Memphis;19189.7;sábado 30 de diciembre de 2017;Volkswagen;478975;-459785.3
L;Memphis;5731.69;domingo 03 de diciembre de 2017;Volkswagen;478975;-473243.31
B;Memphis;16549.03;domingo 18 de junio de 2017;Audi;506811;-490261.97
R;Memphis;36669.8;miércoles 23 de agosto de 2017;Seat;3396;33273.8
A;Memphis;16292.61;lunes 03 de abril de 2017;Mercedes-Benz;665685;-649392.39
F;Memphis;19084.15;sábado 04 de marzo de 2017;Citroen;361084;-341999.85
H;Memphis;34132.45;miércoles 18 de octubre de 2017;Renault;417019;-382886.55
H;Memphis;35156.37;viernes 27 de octubre de 2017;Renault;417019;-381862.63
T;Memphis;31724.18;miércoles 16 de agosto de 2017;Isuzu;288473;-256748.82
D;Memphis;26538.5;domingo 26 de marzo de 2017;Jaguar;384724;-358185.5
T;Memphis;3819.53;lunes 24 de julio de 2017;Isuzu;288473;-284653.47
I;Memphis;34014.42;miércoles 22 de noviembre de 2017;Hyundai;121889;-87874.58
G;Memphis;43255.63;sábado 02 de diciembre de 2017;Jeep;62985;-19729.37
Q;Memphis;18892.07;domingo 23 de julio de 2017;Suzuki;121590;-102697.93
N;Memphis;13156.26;miércoles 01 de marzo de 2017;BMW;366207;-353050.74
K;Memphis;29059.82;viernes 24 de marzo de 2017;Toyota;509328;-480268.18
J;Memphis;14927.3;miércoles 01 de noviembre de 2017;Mitsubishi;362567;-347639.7
S;Memphis;28390.47;viernes 29 de diciembre de 2017;Peugeot;287741;-259350.53
K;Memphis;23280.35;domingo 22 de octubre de 2017;Toyota;509328;-486047.65
P;Memphis;49225.07;domingo 06 de agosto de 2017;Volvo;579877;-530651.93
A;Memphis;14860;lunes 20 de marzo de 2017;Mercedes-Benz;665685;-650825
S;Memphis;19211.87;domingo 27 de agosto de 2017;Peugeot;287741;-268529.13
F;Memphis;38167.22;sábado 03 de junio de 2017;Citroen;361084;-322916.78
P;Memphis;899.02;viernes 24 de noviembre de 2017;Volvo;579877;-578977.98
H;Memphis;21759.94;sábado 29 de abril de 2017;Renault;417019;-395259.06
H;Memphis;25567.75;jueves 29 de junio de 2017;Renault;417019;-391451.25
E;Memphis;40690.4;miércoles 04 de octubre de 2017;Kia;526617;-485926.6
L;Memphis;28737.58;jueves 30 de noviembre de 2017;Volkswagen;478975;-450237.42
G;Memphis;30531.78;viernes 03 de febrero de 2017;Jeep;62985;-32453.22
K;Memphis;28634;sábado 20 de mayo de 2017;Toyota;509328;-480694
P;Memphis;6603.12;jueves 27 de julio de 2017;Volvo;579877;-573273.88
R;Memphis;4116.11;sábado 30 de diciembre de 2017;Seat;3396;720.11
M;Memphis;42460.57;martes 09 de mayo de 2017;Mazda;327078;-284617.43
M;Memphis;21110.39;sábado 17 de junio de 2017;Mazda;327078;-305967.61
D;Memphis;1731.72;viernes 28 de abril de 2017;Jaguar;384724;-382992.28
F;Memphis;2887.76;domingo 01 de octubre de 2017;Citroen;361084;-358196.24
P;Memphis;4115.89;lunes 25 de septiembre de 2017;Volvo;579877;-575761.11
P;Memphis;1734.02;jueves 16 de marzo de 2017;Volvo;579877;-578142.98
P;Memphis;19592.47;lunes 24 de abril de 2017;Volvo;579877;-560284.53
J;Memphis;12275.05;miércoles 22 de febrero de 2017;Mitsubishi;362567;-350291.95
R;Memphis;37675.81;domingo 16 de julio de 2017;Seat;3396;34279.81
U;Memphis;43164.05;miércoles 18 de octubre de 2017;Nissan;56659;-13494.95
C;Memphis;16872.99;viernes 03 de febrero de 2017;Ford;145385;-128512.01
Q;Memphis;38079.05;miércoles 06 de septiembre de 2017;Suzuki;121590;-83510.95
B;Memphis;43672.46;lunes 16 de octubre de 2017;Audi;506811;-463138.54
G;Memphis;8768.81;martes 15 de agosto de 2017;Jeep;62985;-54216.19
K;Memphis;39846.41;martes 28 de febrero de 2017;Toyota;509328;-469481.59
R;Memphis;15912.07;domingo 23 de julio de 2017;Seat;3396;12516.07
P;Memphis;39900.96;viernes 08 de septiembre de 2017;Volvo;579877;-539976.04
Q;Memphis;29234.55;sábado 01 de abril de 2017;Suzuki;121590;-92355.45
K;Memphis;32969.52;martes 10 de enero de 2017;Toyota;509328;-476358.48
K;Memphis;9643.41;sábado 04 de febrero de 2017;Toyota;509328;-499684.59
G;Memphis;1333.87;lunes 01 de mayo de 2017;Jeep;62985;-61651.13
I;Memphis;32587.75;lunes 28 de agosto de 2017;Hyundai;121889;-89301.25
F;Memphis;44570;jueves 24 de agosto de 2017;Citroen;361084;-316514
I;Memphis;26837.58;martes 26 de diciembre de 2017;Hyundai;121889;-95051.42
H;Memphis;45382.25;sábado 04 de marzo de 2017;Renault;417019;-371636.75
G;Memphis;8806.03;lunes 03 de julio de 2017;Jeep;62985;-54178.97
G;Memphis;4569.27;miércoles 01 de marzo de 2017;Jeep;62985;-58415.73
I;Memphis;15040.45;lunes 06 de noviembre de 2017;Hyundai;121889;-106848.55
T;Memphis;14511.05;domingo 26 de febrero de 2017;Isuzu;288473;-273961.95
R;Memphis;2659.7;sábado 28 de enero de 2017;Seat;3396;-736.3
K;Memphis;13146.69;sábado 14 de enero de 2017;Toyota;509328;-496181.31
S;Memphis;36166.77;domingo 03 de diciembre de 2017;Peugeot;287741;-251574.23
Q;Memphis;21949.98;martes 25 de julio de 2017;Suzuki;121590;-99640.02
S;Memphis;36457.04;miércoles 25 de enero de 2017;Peugeot;287741;-251283.96
M;Memphis;13969.64;martes 12 de diciembre de 2017;Mazda;327078;-313108.36
U;Memphis;27515.68;jueves 09 de marzo de 2017;Nissan;56659;-29143.32
K;Memphis;26242.45;miércoles 23 de agosto de 2017;Toyota;509328;-483085.55
E;Memphis;9794.66;viernes 25 de agosto de 2017;Kia;526617;-516822.34
C;Memphis;30643.7;viernes 13 de enero de 2017;Ford;145385;-114741.3
J;Memphis;385.38;jueves 28 de septiembre de 2017;Mitsubishi;362567;-362181.62
G;Memphis;10571;jueves 16 de noviembre de 2017;Jeep;62985;-52414
M;Memphis;23617.07;sábado 02 de diciembre de 2017;Mazda;327078;-303460.93
Q;Memphis;16758.91;martes 22 de agosto de 2017;Suzuki;121590;-104831.09
Q;Memphis;11732.63;miércoles 23 de agosto de 2017;Suzuki;121590;-109857.37
A;Memphis;395.92;domingo 08 de octubre de 2017;Mercedes-Benz;665685;-665289.08
D;Memphis;13202.6;miércoles 29 de marzo de 2017;Jaguar;384724;-371521.4
Q;Memphis;12323.37;jueves 03 de agosto de 2017;Suzuki;121590;-109266.63
P;Memphis;2075.93;domingo 05 de marzo de 2017;Volvo;579877;-577801.07
J;Memphis;46416.81;martes 07 de marzo de 2017;Mitsubishi;362567;-316150.19
J;Memphis;5563.96;domingo 24 de septiembre de 2017;Mitsubishi;362567;-357003.04
Q;Memphis;8610.25;miércoles 18 de octubre de 2017;Suzuki;121590;-112979.75
O;Memphis;42377.94;sábado 29 de abril de 2017;Fiat;117711;-75333.06
C;Memphis;20004.55;martes 15 de agosto de 2017;Ford;145385;-125380.45
H;Memphis;31857.99;viernes 10 de noviembre de 2017;Renault;417019;-385161.01
B;Memphis;8144.98;lunes 06 de febrero de 2017;Audi;506811;-498666.02
S;Memphis;43921.08;domingo 29 de enero de 2017;Peugeot;287741;-243819.92
C;Memphis;18217.06;domingo 23 de abril de 2017;Ford;145385;-127167.94
A;Memphis;37751.59;jueves 28 de diciembre de 2017;Mercedes-Benz;665685;-627933.41
E;Memphis;41962.5;domingo 22 de octubre de 2017;Kia;526617;-484654.5
B;Memphis;43608.94;martes 29 de agosto de 2017;Audi;506811;-463202.06
T;Memphis;43140.85;sábado 22 de julio de 2017;Isuzu;288473;-245332.15
D;Memphis;7976.15;miércoles 21 de junio de 2017;Jaguar;384724;-376747.85
E;Memphis;15052.4;viernes 16 de junio de 2017;Kia;526617;-511564.6
P;Memphis;15877.61;viernes 10 de marzo de 2017;Volvo;579877;-563999.39
M;Memphis;13579.9;miércoles 22 de marzo de 2017;Mazda;327078;-313498.1
C;Memphis;2600.49;lunes 03 de abril de 2017;Ford;145385;-142784.51
A;Memphis;7819.33;lunes 07 de agosto de 2017;Mercedes-Benz;665685;-657865.67
F;Memphis;19344.01;martes 20 de junio de 2017;Citroen;361084;-341739.99
F;Memphis;20894.22;viernes 27 de octubre de 2017;Citroen;361084;-340189.78
U;Memphis;25426.68;viernes 27 de octubre de 2017;Nissan;56659;-31232.32
K;Memphis;29512.27;miércoles 23 de agosto de 2017;Toyota;509328;-479815.73
O;Memphis;14751;miércoles 12 de julio de 2017;Fiat;117711;-102960
I;Memphis;31103.9;martes 05 de septiembre de 2017;Hyundai;121889;-90785.1
S;Memphis;947.76;miércoles 19 de abril de 2017;Peugeot;287741;-286793.24
F;Memphis;23346.39;domingo 26 de marzo de 2017;Citroen;361084;-337737.61
G;Memphis;38937.55;jueves 01 de junio de 2017;Jeep;62985;-24047.45
L;Memphis;2117.28;domingo 30 de abril de 2017;Volkswagen;478975;-476857.72
A;Memphis;46733.38;sábado 29 de abril de 2017;Mercedes-Benz;665685;-618951.62
B;Memphis;30424.51;domingo 29 de octubre de 2017;Audi;506811;-476386.49
C;Memphis;3925.81;martes 24 de octubre de 2017;Ford;145385;-141459.19
O;Memphis;28125.42;lunes 21 de agosto de 2017;Fiat;117711;-89585.58
I;Memphis;6321.81;jueves 11 de mayo de 2017;Hyundai;121889;-115567.19
R;Memphis;40650.43;domingo 15 de enero de 2017;Seat;3396;37254.43
S;Memphis;46527.37;sábado 22 de abril de 2017;Peugeot;287741;-241213.63
R;Memphis;19846.22;miércoles 27 de septiembre de 2017;Seat;3396;16450.22
N;Memphis;27805.11;viernes 02 de junio de 2017;BMW;366207;-338401.89
F;Memphis;22186.39;lunes 27 de febrero de 2017;Citroen;361084;-338897.61
P;Memphis;10214.09;martes 02 de mayo de 2017;Volvo;579877;-569662.91
F;Memphis;20094.31;martes 20 de junio de 2017;Citroen;361084;-340989.69
R;Memphis;46379.36;sábado 20 de mayo de 2017;Seat;3396;42983.36
F;Memphis;42305.58;domingo 08 de enero de 2017;Citroen;361084;-318778.42
U;Memphis;5640.04;miércoles 14 de junio de 2017;Nissan;56659;-51018.96
H;Memphis;30933.27;lunes 06 de febrero de 2017;Renault;417019;-386085.73
E;Memphis;18472.02;miércoles 13 de septiembre de 2017;Kia;526617;-508144.98
N;Memphis;27066.84;lunes 26 de junio de 2017;BMW;366207;-339140.16
L;Memphis;4117.78;jueves 02 de febrero de 2017;Volkswagen;478975;-474857.22
E;Memphis;6815.31;miércoles 25 de enero de 2017;Kia;526617;-519801.69
A;Memphis;48286.16;miércoles 15 de noviembre de 2017;Mercedes-Benz;665685;-617398.84
R;Memphis;6019.96;sábado 06 de mayo de 2017;Seat;3396;2623.96
E;Memphis;39433.1;viernes 27 de enero de 2017;Kia;526617;-487183.9
T;Memphis;45796.59;lunes 09 de enero de 2017;Isuzu;288473;-242676.41
P;Memphis;37092.56;sábado 12 de agosto de 2017;Volvo;579877;-542784.44
G;Memphis;37833.14;viernes 24 de febrero de 2017;Jeep;62985;-25151.86
C;Porland;9394.1;lunes 25 de septiembre de 2017;Ford;145385;-135990.9
T;Porland;25309.73;lunes 30 de enero de 2017;Isuzu;288473;-263163.27
I;Porland;14720.65;sábado 13 de mayo de 2017;Hyundai;121889;-107168.35
O;Porland;36084.91;lunes 06 de marzo de 2017;Fiat;117711;-81626.09
D;Porland;2692.96;viernes 28 de julio de 2017;Jaguar;384724;-382031.04
R;Porland;9006.74;viernes 17 de febrero de 2017;Seat;3396;5610.74
R;Porland;23091.5;martes 21 de febrero de 2017;Seat;3396;19695.5
K;Porland;41069.53;miércoles 04 de octubre de 2017;Toyota;509328;-468258.47
F;Porland;46970.56;martes 06 de junio de 2017;Citroen;361084;-314113.44
P;Porland;21366.91;martes 06 de junio de 2017;Volvo;579877;-558510.09
H;Porland;45193.53;jueves 16 de noviembre de 2017;Renault;417019;-371825.47
M;Porland;36830.36;miércoles 11 de enero de 2017;Mazda;327078;-290247.64
I;Porland;15629.07;jueves 29 de junio de 2017;Hyundai;121889;-106259.93
K;Porland;30853.57;domingo 05 de marzo de 2017;Toyota;509328;-478474.43
K;Porland;48430.78;jueves 19 de enero de 2017;Toyota;509328;-460897.22
A;Porland;48651.39;jueves 16 de noviembre de 2017;Mercedes-Benz;665685;-617033.61
H;Porland;10931.21;viernes 18 de agosto de 2017;Renault;417019;-406087.79
L;Porland;41910.8;viernes 07 de julio de 2017;Volkswagen;478975;-437064.2
I;Porland;6327.42;sábado 15 de julio de 2017;Hyundai;121889;-115561.58
M;Porland;48733.51;domingo 23 de abril de 2017;Mazda;327078;-278344.49
O;Porland;2018.49;domingo 15 de octubre de 2017;Fiat;117711;-115692.51
F;Porland;28844.33;sábado 09 de diciembre de 2017;Citroen;361084;-332239.67
J;Porland;29285.55;jueves 18 de mayo de 2017;Mitsubishi;362567;-333281.45
A;Porland;47835.67;miércoles 06 de septiembre de 2017;Mercedes-Benz;665685;-617849.33
R;Porland;42233.49;viernes 20 de octubre de 2017;Seat;3396;38837.49
E;Porland;22521.71;sábado 14 de octubre de 2017;Kia;526617;-504095.29
L;Porland;34607.31;martes 26 de diciembre de 2017;Volkswagen;478975;-444367.69
T;Porland;36626.65;jueves 04 de mayo de 2017;Isuzu;288473;-251846.35
A;Porland;22965.89;miércoles 29 de marzo de 2017;Mercedes-Benz;665685;-642719.11
A;Porland;36970.04;jueves 29 de junio de 2017;Mercedes-Benz;665685;-628714.96
A;Porland;36313.61;jueves 26 de octubre de 2017;Mercedes-Benz;665685;-629371.39
B;Porland;49643.93;lunes 06 de febrero de 2017;Audi;506811;-457167.07
Q;Porland;32432.02;jueves 16 de febrero de 2017;Suzuki;121590;-89157.98
E;Porland;36079.06;viernes 28 de julio de 2017;Kia;526617;-490537.94
A;Porland;44849.01;miércoles 15 de marzo de 2017;Mercedes-Benz;665685;-620835.99
C;Porland;10644.76;domingo 09 de abril de 2017;Ford;145385;-134740.24
J;Porland;12523.2;sábado 22 de julio de 2017;Mitsubishi;362567;-350043.8
L;Porland;27894.61;viernes 03 de febrero de 2017;Volkswagen;478975;-451080.39
S;Porland;41845.8;miércoles 08 de febrero de 2017;Peugeot;287741;-245895.2
D;Porland;21655.06;martes 31 de octubre de 2017;Jaguar;384724;-363068.94
L;Porland;31030.65;lunes 11 de septiembre de 2017;Volkswagen;478975;-447944.35
O;Porland;37005.07;jueves 05 de octubre de 2017;Fiat;117711;-80705.93
R;Porland;16044.91;sábado 11 de noviembre de 2017;Seat;3396;12648.91
H;Porland;49343.02;jueves 26 de octubre de 2017;Renault;417019;-367675.98
F;Porland;43364.09;jueves 09 de marzo de 2017;Citroen;361084;-317719.91
K;Porland;5007.85;jueves 01 de junio de 2017;Toyota;509328;-504320.15
S;Porland;15975.28;martes 31 de octubre de 2017;Peugeot;287741;-271765.72
E;Porland;4567.62;miércoles 28 de junio de 2017;Kia;526617;-522049.38
O;Porland;16676.66;lunes 10 de julio de 2017;Fiat;117711;-101034.34
D;Porland;26552.8;lunes 09 de octubre de 2017;Jaguar;384724;-358171.2
D;Porland;46681.57;martes 25 de julio de 2017;Jaguar;384724;-338042.43
R;Porland;23623.45;martes 19 de diciembre de 2017;Seat;3396;20227.45
P;Porland;38629.74;martes 28 de febrero de 2017;Volvo;579877;-541247.26
B;Porland;19573.11;miércoles 03 de mayo de 2017;Audi;506811;-487237.89
S;Porland;47038.42;miércoles 06 de septiembre de 2017;Peugeot;287741;-240702.58
P;Porland;29581.44;miércoles 11 de octubre de 2017;Volvo;579877;-550295.56
F;Porland;1866.14;sábado 23 de diciembre de 2017;Citroen;361084;-359217.86
O;Porland;7292.55;sábado 21 de octubre de 2017;Fiat;117711;-110418.45
G;Porland;14040.47;domingo 03 de diciembre de 2017;Jeep;62985;-48944.53
G;Porland;39564.95;jueves 09 de marzo de 2017;Jeep;62985;-23420.05
J;Porland;9245.9;domingo 20 de agosto de 2017;Mitsubishi;362567;-353321.1
B;Porland;47216.63;domingo 28 de mayo de 2017;Audi;506811;-459594.37
L;Porland;7011.39;lunes 10 de abril de 2017;Volkswagen;478975;-471963.61
N;Porland;30631.72;miércoles 18 de octubre de 2017;BMW;366207;-335575.28
G;Porland;49249.62;sábado 04 de febrero de 2017;Jeep;62985;-13735.38
N;Porland;1703.87;martes 05 de septiembre de 2017;BMW;366207;-364503.13
E;Porland;11744;jueves 07 de septiembre de 2017;Kia;526617;-514873
K;Porland;36882.82;jueves 17 de agosto de 2017;Toyota;509328;-472445.18
O;Porland;34268.14;lunes 31 de julio de 2017;Fiat;117711;-83442.86
G;Porland;15699.48;miércoles 09 de agosto de 2017;Jeep;62985;-47285.52
D;Porland;17527.05;viernes 13 de octubre de 2017;Jaguar;384724;-367196.95
F;Porland;19391.95;viernes 20 de octubre de 2017;Citroen;361084;-341692.05
S;Porland;48352.19;miércoles 18 de enero de 2017;Peugeot;287741;-239388.81
Q;Porland;38207.44;jueves 13 de abril de 2017;Suzuki;121590;-83382.56
O;Porland;11903.33;lunes 30 de enero de 2017;Fiat;117711;-105807.67
D;Porland;16089.03;jueves 22 de junio de 2017;Jaguar;384724;-368634.97
N;Porland;5078.6;jueves 15 de junio de 2017;BMW;366207;-361128.4
G;Porland;41492.55;miércoles 22 de febrero de 2017;Jeep;62985;-21492.45
N;Porland;37309.62;martes 27 de junio de 2017;BMW;366207;-328897.38
O;Porland;40101.43;sábado 09 de septiembre de 2017;Fiat;117711;-77609.57
D;Porland;7679.05;jueves 30 de noviembre de 2017;Jaguar;384724;-377044.95
I;Porland;18307.58;viernes 05 de mayo de 2017;Hyundai;121889;-103581.42
L;Porland;34462.52;miércoles 08 de noviembre de 2017;Volkswagen;478975;-444512.48
B;Porland;14654.97;jueves 21 de diciembre de 2017;Audi;506811;-492156.03
C;Porland;44351.2;domingo 12 de noviembre de 2017;Ford;145385;-101033.8
G;Porland;27259.48;martes 29 de agosto de 2017;Jeep;62985;-35725.52
H;Porland;46431.68;domingo 05 de febrero de 2017;Renault;417019;-370587.32
